sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.cellVoltage4 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
10/11/2024,3:32:34.21 AM,0m 0.0s,0.0,-33.7547715747393,150.73807846812,0,0,,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.4,27.4,,P-GPS (Brake),Other,,22,5,True,,Air 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.8,12.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.566,2814,3935,15.566,True,3.892,3.892,3.892,3.892,,False,False,0.987,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,Aircraft in Altitude Zone (500 m). Fly with caution (Code: 190001).; Flight mode changed to P-GPS (Brake).,
10/11/2024,3:32:34.33 AM,0m 0.1s,0.1,-33.7547715710897,150.738078472746,0,0,,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.8,12.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.566,2814,3935,15.566,True,3.892,3.892,3.892,3.892,,False,False,0.987,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059).; Flight mode changed to Starting Motors.,
10/11/2024,3:32:34.43 AM,0m 0.2s,0.2,-33.7547715604965,150.738078477284,0,0,,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.8,12.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,3:32:34.53 AM,0m 0.3s,0.3,-33.7547715543218,150.738078479496,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.7,12.7,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,3:32:34.63 AM,0m 0.4s,0.4,-33.7547715445168,150.738078479323,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.6,12.6,False,False,False,False,False,False,,True,Normal,100,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,3:32:34.73 AM,0m 0.5s,0.5,-33.7547715323837,150.738078474366,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.6,12.6,False,False,False,False,False,False,,True,Normal,100,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,3:32:34.84 AM,0m 0.6s,0.6,-33.754771560352,150.738078482609,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.4,27.4,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.6,12.6,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,3:32:34.94 AM,0m 0.7s,0.7,-33.7547715502889,150.738078481923,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.5,12.5,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,-33.7547774608723,150.738074033112,2.5,,328.0,True,1,1,False,False,False,False,,True,False,False,,196.8,,16.4,37,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,Data Recorder File Index is 37.; Set Return to Home (RTH) altitude to 60 m (197 ft).; Set maximum flight altitude to 100 m (328 ft).,
10/11/2024,3:32:35.04 AM,0m 0.8s,0.8,-33.754771551832,150.738078497893,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.5,12.5,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,-33.7547774608723,150.738074033112,2.5,,328.0,True,1,1,False,False,False,False,,True,False,False,,196.8,,16.4,37,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,3:32:35.14 AM,0m 0.9s,0.9,-33.7547715474135,150.738078504113,0,0,0.3,107,0,0,0,0,0,0,0,0,0,4.6,-0.8,27.3,27.3,,Starting Motors,Other,,22,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,12.5,12.5,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,72,15.565,2814,3935,15.565,False,3.891,3.891,3.891,3.892,0.001,False,False,1.327,93.4,93.3,93.3,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,-33.7547774608723,150.738074033112,2.5,,328.0,True,1,1,False,False,False,False,,True,False,False,,196.8,,16.4,37,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,37.5,0.0,3.2,0.223694,5.368656,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,04601484-5FA3-0032-463F-F2EEFC3903B3,1581F6N8C23AR0035EE6,,,,,,,,,
