Tiempo_Audio,Tiempo_CSV,Azimut_Estimado,Elevacion_Estimada,Azimut_CSV,Elevacion_CSV,Dif_Azimut,Dif_Elevacion,Distancia_Metros
82.0,0m 3.9s,4,2,5.0,0.0,1.0,2.0,8.777978597849042
82.1,0m 4.0s,4,2,4.968275138209719,1.9923870559911916,0.9682751382097194,0.007612944008808409,8.767008197879266
82.2,0m 4.1s,2,0,4.936197606349822,1.9948187988951542,2.936197606349822,1.9948187988951542,8.756325267207247
82.3,0m 4.2s,2,0,4.968990420883671,3.984898798976435,2.968990420883671,3.984898798976435,8.77203741019423
82.4,0m 4.3s,4,8,4.966699254137183,5.966838875511613,0.9666992541371826,2.0331611244883874,8.796296004505146
82.5,0m 4.4s,4,10,5.142392573297911,9.880217408702602,1.1423925732979114,0.11978259129739754,8.881690290123089
82.6,0m 4.5s,6,14,5.141151734494201,11.804043745206785,0.8588482655057987,2.1959562547932148,8.939939771808849
82.7,0m 4.6s,-68,0,5.142783648089704,15.607764167785634,73.1427836480897,15.607764167785634,9.062988104534869
82.8,0m 4.7s,6,20,5.148855839601822,17.456851729389115,0.851144160398178,2.543148270610885,9.14438132909972
82.9,0m 4.8s,-72,4,5.163526020635857,21.0403881786117,77.16352602063586,17.0403881786117,9.338600797208656
83.0,0m 4.9s,-72,6,5.37376213996842,24.4928939366283,77.37376213996842,18.4928939366283,9.55761577171932
83.1,0m 5.0s,-74,8,5.372394200521228,27.7432896096214,79.37239420052123,19.7432896096214,9.821467782009375
83.2,0m 5.1s,6,30,5.343065367713365,29.3154857249519,0.6569346322866352,0.6845142750481017,9.960415395075348
83.3,0m 5.2s,8,34,5.321568881164609,30.822922116728765,2.678431118835391,3.1770778832712345,10.112679305764967
83.4,0m 5.3s,74,12,5.25322545858819,33.72217164552183,68.74677454141181,21.722171645521833,10.431468430127499
83.5,0m 5.4s,128,0,5.229881067029737,35.083176072998114,122.77011893297026,35.083176072998114,10.606073942268717
83.6,0m 5.5s,-96,20,5.2803642475555534,35.10688986903366,101.28036424755555,15.106889869033658,10.599828744034298
83.7,0m 5.6s,6,38,5.240002641833939,36.433841497008686,0.7599973581660606,1.566158502991314,10.777677417547405
83.8,0m 5.7s,68,12,5.2463989517405025,36.496522969298134,62.7536010482595,24.496522969298134,10.761734653355843
83.9,0m 5.8s,-92,24,5.26574902854432,36.532726545364596,97.26574902854432,12.532726545364596,10.752553755636113
84.0,0m 5.9s,-110,0,5.2384961923870605,37.84692325712026,115.23849619238706,37.84692325712026,10.929112129261565
84.1,0m 6.0s,6,38,5.222394662996919,37.84124779396926,0.7776053370030809,0.1587522060307407,10.930505668038899
84.2,0m 6.1s,6,40,5.17131232495862,37.86168459512518,0.8286876750413796,2.1383154048748167,10.925489833139682
84.3,0m 6.2s,6,40,5.092195698371199,37.8834038909924,0.9078043016288007,2.1165961090076024,10.920165799063469
84.4,0m 6.3s,4,38,5.012579164211928,37.899612830157494,1.0125791642119282,0.10038716984250584,10.916196916102901
84.5,0m 6.4s,4,38,5.102599710178197,37.873803409837116,1.1025997101781968,0.1261965901628841,10.92251832395687
84.6,0m 6.5s,4,38,5.047028649710057,36.57367273270125,1.0470286497100574,1.4263272672987526,10.74219419735563
84.7,0m 6.6s,4,38,5.102319774372859,36.57035595247128,1.1023197743728588,1.4296440475287184,10.743032409537616
84.8,0m 6.7s,4,38,5.073307568667985,36.55532432262687,1.0733075686679854,1.4446756773731266,10.746833274487749
84.9,0m 6.8s,6,40,5.187810947876699,36.603708328635044,0.8121890521233013,3.3962916713649562,10.734611230690337
85.0,0m 6.9s,6,40,5.193398673892659,36.60702937582034,0.8066013261073408,3.392970624179661,10.733773617515743
85.1,0m 7.0s,6,40,5.289734039857819,36.64097996857093,0.7102659601421806,3.3590200314290684,10.725220375718685
